Kept title,Kept author,Course,New total,Record folded in (title),Record folded in (author),Its copies,Role
Nickel and Dimed,"Ehrenreich, Barbara",Unassigned,20,Nickel and Dimed,Ehrenreich,12,KEPT
,,,,Nickel and Dimed,"Ehrenreich, Barbara",8,merged + deleted
Nimona,Noelle Stevenson,Unassigned,29,Nimona (5),Noelle Stevenson,23,KEPT
,,,,Nimona,Noelle Stevenson,6,merged + deleted
Of Mice and Men,"Steinbeck, John",English 9,126,Of Mice and Men,John Steinbeck,125,KEPT
,,,,Of Mice and Men,"Steinbeck, John",1,merged + deleted
One Hundred Years of Solitude,Gabriel Garcia Marquez,Unassigned,36,One Hundred Years of Solitude,Gabriel Garcia Marquez,28,KEPT
,,,,One Hundred Years of Solitude,Marquez,8,merged + deleted
Outliers,"Gladwell, Malcolm",AP Language and Composition,51,Outliers,Gladwell,35,KEPT
,,,,Outliers,"Gladwell, Malcolm",16,merged + deleted
Poe: Selected Tales,"Poe, Edgar Allan",Unassigned,48,Selected Tales,Edgar Alen Poe,36,KEPT
,,,,Poe: Selected Tales,"Poe, Edgar Allen",12,merged + deleted
Pride and Prejudice,Jane Austen,Unassigned,29,Pride and Prejudice,Austen,22,KEPT
,,,,Pride and Prejudice,Jane Austen,7,merged + deleted
Quiet: The Power of Introverts,"Cain, Susan",Unassigned,16,Quiet: The Power of Introverts,"Cain, Susan",11,KEPT
,,,,Quiet,Cain,5,merged + deleted
Romeo and Juliet,"Shakespeare, William",Unassigned,11,Romeo and Juliet,Shakespeare,10,KEPT
,,,,Romeo and Juliet,"Shakespeare, William",1,merged + deleted
Salt to the Sea,"Sepetys, Ruta",Unassigned,12,Salt to the Sea,Sepetys,9,KEPT
,,,,Salt to the Sea,"Sepetys, Ruta",3,merged + deleted
"Salt, Sugar, Fat","Moss, Michael",Unassigned,22,"Salt, Sugar, Fat","Moss, Micheal",12,KEPT
,,,,"Salt, Sugar, Fat",Michael Moss,6,merged + deleted
,,,,Salt Sugar Fat,Moss,4,merged + deleted
Stiff,"Roach, Mary",Unassigned,13,Stiff,"Roach, Mary",10,KEPT
,,,,Stiff,Roach,3,merged + deleted
Tess of the D'Urbervilles,"Hardy, Thomas",Unassigned,69,Tess,Hardy,47,KEPT
,,,,Tess of the D'Urbervilles,Thomas Hardy,20,merged + deleted
,,,,Tess of the D'Urbervilles,"Hardy, Thomas",2,merged + deleted
,,,,Tess of the D'Urbervilles,Hardy,0,merged + deleted
The Armchair Economist,"Landsburg, Steven E.",Unassigned,8,The Armchair Economist,Landsburg,6,KEPT
,,,,The Armchair Economist,"Landsburg, Steven E.",2,merged + deleted
The Beauty Myth,"Wolf, Naomi",Unassigned,19,The Beauty Myth,"Wolf, Naomi",14,KEPT
,,,,The Beauty Myth,Wolf,5,merged + deleted
The Bluest Eye,"Morrison, Toni",Unassigned,6,The Bluest Eye,"Morrison, Toni",5,KEPT
,,,,The Bluest Eye,Toni Morrison,1,merged + deleted
The Canterbury Tales,Geoffrey Chaucer,Unassigned,23,The Canterbury Tales,Geoffrey Chaucer,20,KEPT
,,,,Canterbury Tales,Chaucer,3,merged + deleted
The Complete Stories of Flannery O'Connor,"O'Connor, Flannery",Unassigned,54,The Complete Stories of Flannery O'Connor,Anthology: O'Connor,36,KEPT
,,,,The Complete Stories of Flannery O'Conner,Flannery O'Conner,18,merged + deleted
The Crucible,"Miller, Arthur",English 11,31,The Crucible,Miller,30,KEPT
,,,,The Crucible,"Miller, Arthur",1,merged + deleted
The Diary of Anne Frank,"Frank, Anne",Unassigned,12,Diary of Anne Frank,Anne Frank,9,KEPT
,,,,The Diary of Anne Frank,"Frank, Anne",3,merged + deleted
The Etymologicon,"Forsyth, Mark",Unassigned,20,Etymologicon,Forsyth,17,KEPT
,,,,Etymologican,"Forsyth, Mark",3,merged + deleted
The Great Gatsby,"Fitzgerald, F. Scott",English 11,99,The Great Gatsby,Fitzgerald,97,KEPT
,,,,The Great Gatsby,"Fitzgerald, F. Scott",2,merged + deleted
The Handmaid's Tale,"Atwood, Margaret",English 10,41,The Handmaid's Tale,"Atwood, Margaret",36,KEPT
,,,,Handmaid's Tale,Atwood,5,merged + deleted
The Hate U Give,"Thomas, Angie",Unassigned,9,The Hate You Give,Thomas,7,KEPT
,,,,The Hate U Give,"Thomas, Angie",2,merged + deleted
The Illustrated Man,"Bradbury, Ray",Unassigned,20,Illustrated Man (16),Ray Bradbury,16,KEPT
,,,,The Illustrated Man,"Bradbury,Ray",4,merged + deleted
The Joy Luck Club,"Tan, Amy",Unassigned,51,The Joy Luck Club,Tan,47,KEPT
,,,,The Joy Luck Club,"Tan, Amy",4,merged + deleted
The Language of Composition,Renee H. Shea & Lawrence Scanlon & Robin Dissin Aufses,Unassigned,52,The Language of Composition,Renee H. Shea & Lawrence Scanlon & Robin Dissin Aufses,36,KEPT
,,,,The Language of Composition,Shea & Scanlon & Aufses,16,merged + deleted
The Last Lecture,"Pausch, Randy",Unassigned,14,The Last Lecture,Pausch,10,KEPT
,,,,The Last Lecture,"Pausch, Randy",4,merged + deleted
The Mother Tongue,"Bryson, Bill",Unassigned,21,The Mother Tongue,"Bryson, Bill",18,KEPT
,,,,The Mother Tounge,Bryson,3,merged + deleted
